No,제목,회사,지역,link
30,[어니컴(주)] 데이터분석가 신입/경력 모집,어니컴㈜,서울 용산구,https://www.jobkorea.co.kr/Recruit/GI_Read/45405087?Oem_Code=C1&logpath=1&stext=파이썬&listno=581
31,[CFS]쿠팡 이천2센터 운영기획/데이터 관리자 계약직 모집,쿠팡풀필먼트서비스,경기 이천시,https://www.jobkorea.co.kr/Recruit/GI_Read/45404955?Oem_Code=C1&logpath=1&stext=파이썬&listno=582
32,HW본부 펌웨어 개발자 (서울 역삼),㈜모플랫 (Moplat Inc.),서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45404216?Oem_Code=C1&logpath=1&stext=파이썬&listno=583
33,[신입] Vision AI 개발자 신입,㈜에프에스솔루션,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45404154?Oem_Code=C1&logpath=1&stext=파이썬&listno=584
34,[오아시스비즈니스] 데이터엔지니어 (5년 이상)  채용,㈜오아시스비즈니스,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45403929?Oem_Code=C1&logpath=1&stext=파이썬&listno=585
35,[오아시스비즈니스] 데이터사이언티스트 (5년 이상)  채용,㈜오아시스비즈니스,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45403921?Oem_Code=C1&logpath=1&stext=파이썬&listno=586
36,외국계기업 연구개발(R&D) 엔지니어,센시리온오토모티브솔루션즈코리아㈜,서울 구로구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45403572?Oem_Code=C1&logpath=1&stext=파이썬&listno=587
37,"React , Vue FE 프론트엔드 (상/고급) 프로그래머를 모집",드림나우㈜,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45403542?Oem_Code=C1&logpath=1&stext=파이썬&listno=588
38,빅데이터 분석 플랫폼 데이터 엔지니어 모집,㈜바이텍씨스템,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45403277?Oem_Code=C1&logpath=1&stext=파이썬&listno=589
39,[국기] 프론트엔드&백엔드 개발자 과정 강사 모집,두드림컴퓨터아카데미,경기 용인시,https://www.jobkorea.co.kr/Recruit/GI_Read/45397772?Oem_Code=C1&logpath=1&stext=파이썬&listno=590
40,2024년 하반기 채용 공고 (SW엔지니어) - 대구,㈜소네트,대구 달성군,https://www.jobkorea.co.kr/Recruit/GI_Read/45402622?Oem_Code=C1&logpath=1&stext=파이썬&listno=591
41,[부산/서울] (주)365mc 의료Data/AI 사이언티스트 채용 (신입가능),㈜삼육오엠씨,부산 부산진구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45402570?Oem_Code=C1&logpath=1&stext=파이썬&listno=592
42,[베리타스자산] IT팀 신입/경력사원 채용,㈜베리타스자산대부,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45402367?Oem_Code=C1&logpath=1&stext=파이썬&listno=593
43,"nodejs, javascript, 라즈베리파이, 임베디드 개발자 초빙",지티엘파킹,경기 군포시,https://www.jobkorea.co.kr/Recruit/GI_Read/45402285?Oem_Code=C1&logpath=1&stext=파이썬&listno=594
44,반도체 Layout Engineer,피디에프솔루션세미컨덕터테크놀로지코리아(유),경기 성남시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45402248?Oem_Code=C1&logpath=1&stext=파이썬&listno=595
45,`24년 3분기 연구보조 (분석 및 시험) 계약직 채용,에스케이바이오사이언스㈜,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45402212?Oem_Code=C1&logpath=1&stext=파이썬&listno=596
46,JAVA 개발자 모집(경력),㈜네오포스,대전 유성구,https://www.jobkorea.co.kr/Recruit/GI_Read/45402131?Oem_Code=C1&logpath=1&stext=파이썬&listno=597
47,[국내 TOP10 로펌/법무법인 YK]본사 백엔드 개발자 채용,법무법인와이케이,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45401772?Oem_Code=C1&logpath=1&stext=파이썬&listno=598
48,에스트래픽 센터시스템 SW 개발 경력자 채용,에스트래픽㈜,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45401369?Oem_Code=C1&logpath=1&stext=파이썬&listno=599
49,고려대학교 소프트웨어보안연구소(CSSA) 연구원 모집,고려대학교 산학협력단,서울 성북구,https://www.jobkorea.co.kr/Recruit/GI_Read/45401354?Oem_Code=C1&logpath=1&stext=파이썬&listno=600
50,"[사운드웨이브] 엔터테인먼트 운영팀 팀원 채용(팝업스토어, 이벤트, 현장관리)",㈜사운드웨이브,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45224765?Oem_Code=C1&logpath=1
51,슬코 생산물류직원 모집,슬코,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45052139?Oem_Code=C1&logpath=1
52,"[KIS Jeju] Business Staff(기숙사 행정실, 비서팀, 총무팀), 중앙관제실 (건축 및 영선/전기), 사무보조, 보안팀, 한국인교사(국어), 인사팀 직원채용",한국국제학교,제주 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45352671?Oem_Code=C1&logpath=1
53,2024년 관리직(08월) 채용공고 전부문 (간부/경력/신입),에이치에스지성동조선,경남,https://www.jobkorea.co.kr/Recruit/GI_Read/45355726?Oem_Code=C1&logpath=1
54,"[상여500] 카메라 렌즈 생산 / 3차원 측정,현미경 검사원 모집 / 연봉 6000수준",모베인,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45298840?Oem_Code=C1&logpath=1
